STATE_NAME,CENSUS_REGION,USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                               
Washington,West,WA,53017,1531818,Douglas,4711893018,76102867,1819.272,29.383,47.741763,-119.694622
Washington,West,WA,53019,1531821,Ferry,5706168977,140280531,2203.164,54.163,48.473256,-118.533589
Washington,West,WA,53021,1531822,Franklin,3216927520,60193373,1242.063,23.241,46.53458,-118.906944
Washington,West,WA,53023,1533500,Garfield,1840672375,19490293,710.688,7.525,46.429478,-117.536711
Washington,West,WA,53025,1531924,Grant,6939864964,289575831,2679.497,111.806,47.213633,-119.467788
Washington,West,WA,53027,1531823,Grays Harbor,4926218585,834956691,1902.024,322.379,47.113999,-123.826655
Washington,West,WA,53029,1513272,Island,539898584,800096249,208.456,308.919,48.158554,-122.670649
Washington,West,WA,53031,1531936,Jefferson,4671386512,982867070,1803.632,379.487,47.805346,-123.527136
Washington,West,WA,53033,1531933,King,5479051227,495743196,2115.474,191.408,47.490599,-121.833996
Washington,West,WA,53035,1529223,Kitsap,1022895499,442827389,394.942,170.977,47.639687,-122.649636
Washington,West,WA,53037,1531926,Kittitas,5950703697,92366017,2297.58,35.663,47.124444,-120.676714
Washington,West,WA,53039,1529219,Klickitat,4846657600,85063387,1871.305,32.843,45.86951,-120.780118
Washington,West,WA,53041,1531927,Lewis,6223223927,86636896,2402.8,33.451,46.580071,-122.377444
Washington,West,WA,53043,1514052,Lincoln,5984151830,74744200,2310.494,28.859,47.582743,-118.417692
Washington,West,WA,53045,1529221,Mason,2484997510,237129533,959.463,91.556,47.354126,-123.17385
Washington,West,WA,53047,1531928,Okanogan,13644022620,121223338,5267.987,46.805,48.551386,-119.685877
Washington,West,WA,53049,1513274,Pacific,2415577169,752975316,932.66,290.725,46.556587,-123.782419
Washington,West,WA,53051,1529157,Pend Oreille,3626010577,65404063,1400.011,25.253,48.543825,-117.232191
Washington,West,WA,53053,1529159,Pierce,4323908141,354564434,1669.47,136.898,47.051415,-122.153242
Washington,West,WA,53055,1531931,San Juan,450446243,1158102373,173.918,447.146,48.50719,-123.103769
Washington,West,WA,53057,1531402,Skagit,4483876220,489272212,1731.234,188.909,48.493292,-121.81577
Washington,West,WA,53059,1529220,Skamania,4288205005,72853035,1655.685,28.129,46.024782,-121.953227
Washington,West,WA,53061,1529222,Snohomish,5405955849,282423392,2087.251,109.044,48.054913,-121.766412
Washington,West,WA,53063,1529225,Spokane,4568182449,43803216,1763.785,16.913,47.620375,-117.403371
Washington,West,WA,53065,1531930,Stevens,6417294487,163107425,2477.731,62.976,48.388727,-117.854454
Washington,West,WA,53067,1529226,Thurston,1869872177,133490871,721.962,51.541,46.935822,-122.830152
Washington,West,WA,53069,1513275,Wahkiakum,682138834,61658249,263.375,23.806,46.294638,-123.424458
Washington,West,WA,53071,1531819,Walla Walla,3289614766,74827791,1270.127,28.891,46.254606,-118.480374
Washington,West,WA,53073,1529224,Whatcom,5456494469,1027129386,2106.764,396.577,48.842653,-121.836432
Washington,West,WA,53075,1533501,Whitman,5591999541,47939274,2159.083,18.509,46.905944,-117.53539
Washington,West,WA,53077,1531929,Yakima,11125444980,41107261,4295.559,15.872,46.456558,-120.740145
West Virginia,South,WV,54001,1696996,Barbour,883338809,4639183,341.059,1.791,39.139725,-79.996947
West Virginia,South,WV,54003,1550008,Berkeley,831754445,1074168,321.142,0.415,39.448054,-78.037776
West Virginia,South,WV,54005,1550009,Boone,1298993366,4284428,501.544,1.654,38.022814,-81.713539
West Virginia,South,WV,54007,1550010,Braxton,1322996445,14144655,510.812,5.461,38.699342,-80.731657
West Virginia,South,WV,54009,1558262,Brooke,231038800,8720581,89.205,3.367,40.272645,-80.578691
West Virginia,South,WV,54011,1550012,Cabell,727834347,18125875,281.018,6.998,38.419578,-82.243397
West Virginia,South,WV,54013,1696945,Calhoun,723252289,3704572,279.249,1.43,38.844159,-81.115478
West Virginia,South,WV,54015,1550014,Clay,885617274,4862495,341.939,1.877,38.459826,-81.081866
West Virginia,South,WV,54017,1689476,Doddridge,828070886,1958429,319.72,0.756,39.26348,-80.701232
West Virginia,South,WV,54019,1560095,Fayette,1713493304,17519255,661.583,6.764,38.030933,-81.086051
West Virginia,South,WV,54021,1689673,Gilmer,876717921,4082138,338.503,1.576,38.915867,-80.849413
West Virginia,South,WV,54023,1697238,Grant,1236391086,7545526,477.373,2.913,39.105988,-79.195064
West Virginia,South,WV,54025,1557518,Greenbrier,2640889361,12578866,1019.653,4.857,37.924418,-80.45059
West Virginia,South,WV,54027,1718644,Hampshire,1658559588,10969263,640.373,4.235,39.312139,-78.611989
West Virginia,South,WV,54029,1560574,Hancock,213957235,13879343,82.609,5.359,40.516958,-80.570164
West Virginia,South,WV,54031,1718557,Hardy,1508194774,5618044,582.317,2.169,39.011361,-78.841729
West Virginia,South,WV,54033,1718426,Harrison,1077454799,1320319,416.008,0.51,39.279182,-80.386498
West Virginia,South,WV,54035,1559963,Jackson,1202677868,18836069,464.357,7.273,38.834234,-81.677717
West Virginia,South,WV,54037,1550025,Jefferson,542932224,5293549,209.627,2.044,39.307398,-77.86322
West Virginia,South,WV,54039,1550026,Kanawha,2335934309,23338986,901.909,9.011,38.328068,-81.523516
West Virginia,South,WV,54041,1550027,Lewis,1002099184,7081114,386.913,2.734,38.988877,-80.495477
West Virginia,South,WV,54043,1550028,Lincoln,1131925163,4023521,437.039,1.553,38.17177,-82.077623
West Virginia,South,WV,54045,1550029,Logan,1175311683,4728037,453.79,1.826,37.830591,-81.940853
West Virginia,South,WV,54047,1689162,McDowell,1381646697,3733396,533.457,1.441,37.382663,-81.658205
West Virginia,South,WV,54049,1718173,Marion,799642645,7186197,308.744,2.775,39.505839,-80.243402
West Virginia,South,WV,54051,1717539,Marshall,791063624,17411496,305.431,6.723,39.854426,-80.671794
West Virginia,South,WV,54053,1560254,Mason,1115635499,36172200,430.749,13.966,38.759288,-82.024171
West Virginia,South,WV,54055,1557645,Mercer,1085124283,4435935,418.969,1.713,37.403448,-81.106456
West Virginia,South,WV,54057,1717890,Mineral,849080923,3595079,327.832,1.388,39.404781,-78.95669
West Virginia,South,WV,54059,1550036,Mingo,1095905316,2190098,423.131,0.846,37.721161,-82.158989
West Virginia,South,WV,54061,1550037,Monongalia,932562935,15061735,360.065,5.815,39.633645,-80.059074
West Virginia,South,WV,54063,1557702,Monroe,1224422271,2298743,472.752,0.888,37.55034,-80.54789
West Virginia,South,WV,54065,1557950,Morgan,593295435,1401528,229.073,0.541,39.555002,-78.257345
West Virginia,South,WV,54067,1550040,Nicholas,1675286182,19618927,646.832,7.575,38.291416,-80.797516
West Virginia,South,WV,54069,1717163,Ohio,274073442,8297402,105.82,3.204,40.098932,-80.620728
West Virginia,South,WV,54071,1550042,Pendleton,1802791280,5437207,696.062,2.099,38.67445,-79.340618
West Virginia,South,WV,54073,1678557,Pleasants,336965589,11510036,130.103,4.444,39.368133,-81.161172
West Virginia,South,WV,54075,1550044,Pocahontas,2435321651,3978593,940.283,1.536,38.332606,-80.010121
