ZIP,CENSUS_REGION,STATE_NAME,CITY_NAME,STATE,LAT,LONG,COUNTY
01094,Northeast,Massachusetts,WHEELWRIGHT,MA,42.351944,72.140278,WORCESTER
01095,Northeast,Massachusetts,WILBRAHAM,MA,42.124506,72.446415,HAMPDEN
01096,Northeast,Massachusetts,WILLIAMSBURG,MA,42.408522,72.777989,HAMPSHIRE
01097,Northeast,Massachusetts,WORONOCO,MA,42.163889,72.83,HAMPDEN
01098,Northeast,Massachusetts,WORTHINGTON,MA,42.384293,72.931427,HAMPSHIRE
01101,Northeast,Massachusetts,SPRINGFIELD,MA,42.106,72.5977,HAMPDEN
01102,Northeast,Massachusetts,SPRINGFIELD,MA,42.106,72.5977,HAMPDEN
01103,Northeast,Massachusetts,SPRINGFIELD,MA,42.1029,72.588735,HAMPDEN
01104,Northeast,Massachusetts,SPRINGFIELD,MA,42.128848,72.577769,HAMPDEN
01105,Northeast,Massachusetts,SPRINGFIELD,MA,42.099931,72.578312,HAMPDEN
01106,Northeast,Massachusetts,LONGMEADOW,MA,42.050658,72.5676,HAMPDEN
01107,Northeast,Massachusetts,SPRINGFIELD,MA,42.117907,72.606544,HAMPDEN
01108,Northeast,Massachusetts,SPRINGFIELD,MA,42.085314,72.558432,HAMPDEN
01109,Northeast,Massachusetts,SPRINGFIELD,MA,42.114455,72.554349,HAMPDEN
01111,Northeast,Massachusetts,SPRINGFIELD,MA,42.106,72.5977,HAMPDEN
01115,Northeast,Massachusetts,SPRINGFIELD,MA,42.106,72.5977,HAMPDEN
01116,Northeast,Massachusetts,LONGMEADOW,MA,42.05,72.583333,HAMPDEN
01118,Northeast,Massachusetts,SPRINGFIELD,MA,42.092937,72.527445,HAMPDEN
01119,Northeast,Massachusetts,SPRINGFIELD,MA,42.12473,72.51211,HAMPDEN
01128,Northeast,Massachusetts,SPRINGFIELD,MA,42.094397,72.488903,HAMPDEN
01129,Northeast,Massachusetts,SPRINGFIELD,MA,42.122263,72.487622,HAMPDEN
01133,Northeast,Massachusetts,SPRINGFIELD,MA,42.106,72.5977,HAMPDEN
01138,Northeast,Massachusetts,SPRINGFIELD,MA,42.106,72.5977,HAMPDEN
01139,Northeast,Massachusetts,SPRINGFIELD,MA,42.106,72.5977,HAMPDEN
01144,Northeast,Massachusetts,SPRINGFIELD,MA,42.106,72.5977,HAMPDEN
01151,Northeast,Massachusetts,SPRINGFIELD,MA,42.153225,72.505048,HAMPDEN
01152,Northeast,Massachusetts,SPRINGFIELD,MA,42.106,72.5977,HAMPDEN
01195,Northeast,Massachusetts,SPRINGFIELD,MA,42.1015,72.5898,HAMPDEN
01199,Northeast,Massachusetts,SPRINGFIELD,MA,42.106,72.5977,HAMPDEN
01201,Northeast,Massachusetts,PITTSFIELD,MA,42.453086,73.247088,BERKSHIRE
01202,Northeast,Massachusetts,PITTSFIELD,MA,42.4492,73.2499,BERKSHIRE
01203,Northeast,Massachusetts,PITTSFIELD,MA,42.4492,73.2499,BERKSHIRE
01220,Northeast,Massachusetts,ADAMS,MA,42.622319,73.117225,BERKSHIRE
01222,Northeast,Massachusetts,ASHLEY FALLS,MA,42.059552,73.320195,BERKSHIRE
01223,Northeast,Massachusetts,BECKET,MA,42.359363,73.120325,BERKSHIRE
01224,Northeast,Massachusetts,BERKSHIRE,MA,42.5125,73.193333,BERKSHIRE
01225,Northeast,Massachusetts,CHESHIRE,MA,42.561059,73.157964,BERKSHIRE
01226,Northeast,Massachusetts,DALTON,MA,42.475046,73.160259,BERKSHIRE
01227,Northeast,Massachusetts,DALTON,MA,42.473611,73.166667,BERKSHIRE
01229,Northeast,Massachusetts,GLENDALE,MA,42.283333,73.344444,BERKSHIRE
01230,Northeast,Massachusetts,GREAT BARRINGTON,MA,42.195922,73.36065,BERKSHIRE
01235,Northeast,Massachusetts,HINSDALE,MA,42.434604,73.092433,BERKSHIRE
01236,Northeast,Massachusetts,HOUSATONIC,MA,42.265296,73.374544,BERKSHIRE
01237,Northeast,Massachusetts,LANESBORO,MA,42.541961,73.248737,BERKSHIRE
01238,Northeast,Massachusetts,LEE,MA,42.298994,73.231696,BERKSHIRE
01240,Northeast,Massachusetts,LENOX,MA,42.364241,73.271322,BERKSHIRE
01242,Northeast,Massachusetts,LENOX DALE,MA,42.336111,73.245833,BERKSHIRE
01243,Northeast,Massachusetts,MIDDLEFIELD,MA,42.34795,73.006226,HAMPSHIRE
